Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1692     0.00     0.00  void std::_Destroy<char*, char>(char*, char*, std::allocator<char>&)
  0.00      0.00     0.00     1688     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >*)
  0.00      0.00     0.00     1582     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned long)
  0.00      0.00     0.00     1466     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     1466     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.00      0.00     0.00     1466     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.00      0.00     0.00     1464     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_M_get_Node_allocator()
  0.00      0.00     0.00     1464     0.00     0.00  std::remove_reference<std::allocator<char>&>::type&& std::move<std::allocator<char>&>(std::allocator<char>&)
  0.00      0.00     0.00     1430     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::_M_ptr()
  0.00      0.00     0.00     1430     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::_M_addr()
  0.00      0.00     0.00     1430     0.00     0.00  std::_Rb_tree_node<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::_M_valptr()
  0.00      0.00     0.00     1354     0.00     0.00  std::remove_reference<std::vector<char, std::allocator<char> >&>::type&& std::move<std::vector<char, std::allocator<char> >&>(std::vector<char, std::allocator<char> >&)
  0.00      0.00     0.00     1345     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00     1284     0.00     0.00  std::_Iter_base<char*, false>::_S_base(char*)
  0.00      0.00     0.00     1280     0.00     0.00  std::tuple<std::vector<char, std::allocator<char> >&&>&& std::forward<std::tuple<std::vector<char, std::allocator<char> >&&> >(std::remove_reference<std::tuple<std::vector<char, std::allocator<char> >&&> >::type&)
